LABOUR;OUTPUT;WAGE;CAPITAL,,,
995;95,80799866;66,67337036;86,55799866
43;5,429999828;53,3255806;7,163000107
160;24,41399956;57,35625076;90,97899628
61;8,126999855;55,03278732;39,33399963
511;24,85899925;36,87279892;141,9409943
68;5,010000229;64,41176605;0,808000028
507;32,49000168;34,33924866;136,6900024
219;41,95899963;50,502285;258,6380005
5079;110,9759979;19,27525139;33,70899963
25;22,21999931;66;66,56800079,
124;8,517999649;44,25;1,570000052
698;25,5170002;29,57306671;1,855000019
330;14,5369997;43,77575684;15,39700031
77;5,209000111;44,94805145;1,199000001
404;14,82699966;31,01732635;9,668000221
193;36,38299942;73,65802765;85,35600281
56;1,532999992;23,75;0,524999976
942;40,67399979;35,19957352;13,2900028
2243;122,6780014;38,90592957;200,8179932
103;4,190000057;33,47572708;1,498000026
473;40,90499878;60,87314987;30,36599922
431;32,19900131;51,43155289;22,60400009
588;42,5929985;70,19387817;35,8100128
240;65,01799774;67,31666565;524,2949829
1980;141,397995;49,9702034;180,180054
758;61,6230011;73,83509064;20,43000031
206;5,156000137;69,8398056;4,247000217
190;22,39500046;102,189476;1,29400003
3760;757,848999;79,55771637;500,4119873
122;163,4369965;64,24590302;412,5910034
713;133,5099945;62,1921463;1279,744995
1742;65,63899994;25,91044807;142,4730072
303;31,22400093;80,70297241;16,2689991
3595;406,3150024;89,36050415;61,39699936
584;27,77799988;36,78938293;6,769000053
230;23,5890007;52,38261032;28,50300026
832;46,42699814;39,54447174;222,8509979
1181;57,49100113;47,69771194;13,28800011
1953;198,2339935;48,97030258;768,7349854
473;19,4640007;35,30443954;2,447999954
512;56,63800049;69,1484375;127,9540024
1508;102,7490005;36,67042542;60,9600067
41;2,24840498;45,27056122;0,355567008
794;19,49399948;20,57178879;10,76799965
40;3,322999954;61,34999847;0,522000015
415;27,62199974;53,96385574;33,79600143
42;6,123000145;76,85713959;11,98400021
85;13,2159996;47,41176605;20,11599922
194;23,11199951;51,17010498;11,76299953
774;14,31400013;15,79974174;1,671000004
383;23,95800018;55,78590012;12,51599979
1845;109,3570023;49,84661102;120,3460007
65;5,383999825;80,75384521;0,437999994
519;40,09799957;73,08863068;4,41999817
562;55,58800125;97,79359436;0,952000022
612;29,91200066;45,06045914;10,99100018
179;193,3029938;96,50279236;190,4290009
84;4,502999783;47,40476227;3,309999943
220;19,17499924;61,38636398;42,5199814
54;1,557999969;22,18518448;1,756999969
69;5,724999905;61,73913193;1,735000014
568;26,15099907;72,35387421;137,8549957
36;11,77000046;83,8888855;466,8819885
2351;150,5809937;45,87367249;189,1089935
1740;114,9540024;51,61954117;192,2579956
391;20,87100029;40,35549927;11,23900032
651;29,47999954;36,58678818;15,23999977
526;53,67900085;63,25285339;231,5590057
621;52,68999863;56,01288223;33,75600052
192;16,91500092;44,38020706;68,3700256
613;30,98600006;42,90701294;39,50400162
72;17,51799965;60,65277863;13,61200047
4649;368,2640076;64,36416626;280,8269958
43;4,586999893;94,83721161;0,268999994
178;19,39699936;87,95505524;3,691999912
111;7,303999901;42,5495491;3,546000004
252;14,59399986;55,90476227;7,323999882
246;18,61700058;61,13414764;726,9580078
210;14,46500015;58,16190338;95,94300079
210;58,05099869;102,1666641;10,39400005
551;24,71999931;34,62432098;12,48999977
766;46,72999954;35,36684036;5,796000004
515;19,88699913;31,66407776;3,872999907
555;41,71099854;47,31351471;4,784999847
892;50,58200073;34,22645569;8,380000114
422;16,27799988;31,13033104;2,443000078
